Date,Open,High,Low,Close
2018-03-28 15:00:00-04:00,321.69,322.27,319.55,320.78
2018-03-28 14:00:00-04:00,320.17,322.84,319.03,321.73
2018-03-28 13:00:00-04:00,318.21,322.75,318.11,320.29
2018-03-28 12:00:00-04:00,316.307,318.925,315.65,317.96
2018-03-28 11:00:00-04:00,318.43,321,314.5,316.2181
2018-03-28 10:00:00-04:00,321.12,323.24,311.17,318.27
2018-03-28 09:00:00-04:00,324.25,324.25,321.33,321.33
2018-03-28 08:00:00-04:00,322,324.5,322,323
2018-03-28 07:00:00-04:00,322,322,322,322
2018-03-27 20:00:00-04:00,321,321,321,321
2018-03-27 19:00:00-04:00,321.1,321.1,320.5,321.1
2018-03-27 18:00:00-04:00,320.75,321.1,320.75,321.1
2018-03-27 17:00:00-04:00,321.12,322,320,320.75
2018-03-27 16:00:00-04:00,327.0793,327.11,319,321.12
2018-03-27 15:00:00-04:00,330.14,331.16,326.892,326.91
2018-03-27 14:00:00-04:00,330.055,332.48,329.25,330.14
2018-03-27 13:00:00-04:00,334.27,334.45,329.77,330.0397
2018-03-27 12:00:00-04:00,331.3215,334.88,329.86,334.32
2018-03-27 11:00:00-04:00,330.5193,332.55,328.39,331.31
2018-03-27 10:00:00-04:00,331.3,331.8,326.51,330.387
2018-03-27 09:00:00-04:00,333.008,333.01,331.65,331.8
2018-03-27 08:00:00-04:00,332,333.01,332,333.01
2018-03-27 06:00:00-04:00,332,332,332,332
2018-03-26 20:00:00-04:00,329.9,330.1,329.64,330.1
2018-03-26 19:00:00-04:00,330.3,330.3,329.88,329.88
2018-03-26 18:00:00-04:00,329,330.3,329,330.3
2018-03-26 17:00:00-04:00,328.97,329.3,328.96,329.3
2018-03-26 16:00:00-04:00,326.7776,329.3627,326.5383,328.96
2018-03-26 15:00:00-04:00,325.18,327.4205,324.88,326.66
2018-03-26 14:00:00-04:00,325.13,327.4,324.5,325.18
2018-03-26 13:00:00-04:00,326.6201,328,324.62,325.075
2018-03-26 12:00:00-04:00,324.5,327.61,323.59,326.7521
2018-03-26 11:00:00-04:00,328.14,328.835,324.551,324.6613
2018-03-26 10:00:00-04:00,329.5,331.9399,328.001,328.265
2018-03-26 09:00:00-04:00,328,330.93,327,329.4975
2018-03-26 08:00:00-04:00,327,329.98,327,328.75
2018-03-26 07:00:00-04:00,327.3,327.3,327,327.08
2018-03-26 06:00:00-04:00,327,327,327,327
2018-03-23 20:00:00-04:00,321.99,322.5,321.14,322.5
2018-03-23 19:00:00-04:00,321.51,321.51,321.5,321.5
2018-03-23 18:00:00-04:00,321.3,321.6,321,321.5
2018-03-23 17:00:00-04:00,321,325.1782,320.95,321.6
2018-03-23 16:00:00-04:00,323.54,325.1116,320.28,320.85
2018-03-23 15:00:00-04:00,329.75,330.53,323.28,323.49
2018-03-23 14:00:00-04:00,324.54,331.14,324.03,329.665
2018-03-23 13:00:00-04:00,324.15,327.195,324.04,324.5888
2018-03-23 12:00:00-04:00,328.6499,328.99,323.821,324.22
2018-03-23 11:00:00-04:00,323.32,328.71,323.02,328.54
2018-03-23 10:00:00-04:00,319.72,325.495,318.3216,323.4333
2018-03-23 09:00:00-04:00,316.75,322.75,315.89,319.68
2018-03-23 08:00:00-04:00,315.56,319,315.51,319
2018-03-23 07:00:00-04:00,314.03,315.99,314.03,315.99
2018-03-23 06:00:00-04:00,315,315,314,314
2018-03-23 05:00:00-04:00,318.2,318.25,315,315
2018-03-22 20:00:00-04:00,319.69,319.69,317,318
2018-03-22 19:00:00-04:00,320.13,320.87,319.69,319.69
2018-03-22 18:00:00-04:00,320,320.97,320,320.47
2018-03-22 17:00:00-04:00,319.57,320.5,319.41,320.2
2018-03-22 16:00:00-04:00,325.36,326.09,319.01,319.6
2018-03-22 15:00:00-04:00,329.04,329.72,325.05,325.4869
2018-03-22 14:00:00-04:00,326.675,331.015,325.3801,329.31
2018-03-22 13:00:00-04:00,324.83,327.85,323.13,326.7034
2018-03-22 12:00:00-04:00,328.31,329.86,324.35,324.7496
2018-03-22 11:00:00-04:00,330.13,332.649,328.06,328.32
2018-03-22 10:00:00-04:00,332.01,332.68,328.16,330.2855
2018-03-22 09:00:00-04:00,335.19,335.19,332,332
2018-03-22 08:00:00-04:00,333.88,335,333.88,334
2018-03-21 20:00:00-04:00,337.5,337.5,337.21,337.21
2018-03-21 18:00:00-04:00,337.59,337.59,337.59,337.59
2018-03-21 17:00:00-04:00,337.1,337.64,337.1,337.64
2018-03-21 16:00:00-04:00,337.1,340.18,337,337.22
2018-03-21 15:00:00-04:00,339.753,341.91,336.6,337.1
2018-03-21 14:00:00-04:00,340.95,340.95,339.3,339.91
2018-03-21 13:00:00-04:00,341.25,341.8846,340.65,340.9
2018-03-21 12:00:00-04:00,336.775,341.75,336.565,341.25
2018-03-21 11:00:00-04:00,335.91,337.37,335.4,336.81
2018-03-21 10:00:00-04:00,337.28,337.98,335.17,335.91
2018-03-21 09:00:00-04:00,337.15,337.75,337.01,337.701
2018-03-21 08:00:00-04:00,337.5,337.99,337.5,337.99
2018-03-21 07:00:00-04:00,337.63,337.63,337.63,337.63
2018-03-20 20:00:00-04:00,338.3,338.3,338.3,338.3
2018-03-20 19:00:00-04:00,337.78,338.5,337.78,338.01
2018-03-20 18:00:00-04:00,337.78,337.78,337.78,337.78
2018-03-20 17:00:00-04:00,337.63,337.8006,337.01,337.73
2018-03-20 16:00:00-04:00,338.36,338.73,337.19,337.81
2018-03-20 15:00:00-04:00,337.62,338.8,337.2401,338.41
2018-03-20 14:00:00-04:00,337.97,338.36,337.11,337.56
2018-03-20 13:00:00-04:00,336.89,339.15,336.38,337.995
2018-03-20 12:00:00-04:00,338.94,339.105,335.7186,336.8233
2018-03-20 11:00:00-04:00,335.09,339.7,334.9,338.85
2018-03-20 10:00:00-04:00,332.29,336.73,331,335.09
2018-03-20 09:00:00-04:00,333,333,332.32,332.48
2018-03-20 08:00:00-04:00,332.01,332.99,332.01,332.65
2018-03-19 20:00:00-04:00,330.1,330.75,330.1,330.1
2018-03-19 19:00:00-04:00,330.46,330.46,330.3,330.3
2018-03-19 18:00:00-04:00,332,332.29,330.5,330.75
2018-03-19 17:00:00-04:00,331.76,332.3,331.76,332.3
2018-03-19 16:00:00-04:00,330.35,331.96,329.5,331.77
2018-03-19 15:00:00-04:00,330.69,331.17,328.35,330.17
2018-03-19 14:00:00-04:00,330.53,330.9,327.66,330.8
2018-03-19 13:00:00-04:00,331.48,333.33,329.9,330.61
2018-03-19 12:00:00-04:00,331,332.24,330.1601,331.546
2018-03-19 11:00:00-04:00,328.2301,332.64,327.59,331.05
2018-03-19 10:00:00-04:00,328.01,328.46,326.78,328.344
2018-03-19 09:00:00-04:00,328,328.5,327.4,328.05
2018-03-19 08:00:00-04:00,328,328.2,327.5,327.7
2018-03-19 07:00:00-04:00,326.8,326.8,326.33,326.33
2018-03-19 06:00:00-04:00,326.5,326.5,326.5,326.5
2018-03-16 20:00:00-04:00,329.75,330.86,329.75,330.86
2018-03-16 19:00:00-04:00,329.6,329.75,329.5,329.7
2018-03-16 18:00:00-04:00,330.47,330.47,329.75,329.75
2018-03-16 17:00:00-04:00,330.47,330.54,328.085,330
2018-03-16 16:00:00-04:00,330.08,330.72,329.51,329.8
2018-03-16 15:00:00-04:00,330.01,330.61,329.59,330.1
2018-03-16 14:00:00-04:00,329.43,330.83,329.16,329.98
2018-03-16 13:00:00-04:00,327.16,329.765,327.03,329.385
2018-03-16 12:00:00-04:00,326.93,329.25,325.92,327.03
2018-03-16 11:00:00-04:00,328.46,328.87,325.63,326.96
2018-03-16 10:00:00-04:00,330.51,331.2,327.2886,328.383
2018-03-16 09:00:00-04:00,331.74,331.74,329.65,330.25
2018-03-16 08:00:00-04:00,330.64,330.69,330,330
2018-03-16 06:00:00-04:00,331.68,331.68,331.5,331.5
2018-03-15 20:00:00-04:00,330.1,330.16,330.1,330.16
2018-03-15 19:00:00-04:00,330.4,330.4,330.08,330.4
2018-03-15 18:00:00-04:00,329.98,330.4,329.98,330.4
2018-03-15 17:00:00-04:00,329.98,330.95,329.8,330.25
2018-03-15 16:00:00-04:00,329.905,330.33,328.81,329.91
2018-03-15 15:00:00-04:00,327.79,329.9698,327.1,329.96
2018-03-15 14:00:00-04:00,330.5,331.15,327.7,327.915
2018-03-15 13:00:00-04:00,331.4318,331.79,329.64,330.45
2018-03-15 12:00:00-04:00,325.31,332.92,325.18,331.43
2018-03-15 11:00:00-04:00,326.65,328.9,324.51,325.46
2018-03-15 10:00:00-04:00,332.5,334,322.91,326.4347
2018-03-15 09:00:00-04:00,329,334.01,328.8,332.5
2018-03-15 08:00:00-04:00,330.99,331.7,330.4,331.5
2018-03-15 07:00:00-04:00,330,330,330,330
2018-03-15 06:00:00-04:00,331.5,331.5,331.5,331.5
2018-03-14 20:00:00-04:00,330.4,330.69,330.01,330.4
2018-03-14 19:00:00-04:00,330.24,330.44,330,330
2018-03-14 18:00:00-04:00,330.56,330.56,329.62,330.13
2018-03-14 17:00:00-04:00,330.47,330.75,328.93,330.07
2018-03-14 16:00:00-04:00,330.34,330.6,328.7,330.28
2018-03-14 15:00:00-04:00,333.73,334.6,329.1,330.24
2018-03-14 14:00:00-04:00,329.54,333.83,327.52,333.647
2018-03-14 13:00:00-04:00,323.23,330.08,322.3,329.5063
2018-03-14 12:00:00-04:00,330.61,331.13,322.55,323.1668
2018-03-14 11:00:00-04:00,332.93,333.77,329.52,330.685
2018-03-14 10:00:00-04:00,339.5,340.524,330.8,332.8967
2018-03-14 09:00:00-04:00,339.25,340,338.95,339.64
2018-03-14 08:00:00-04:00,339.25,339.65,338.95,339.35
2018-03-13 20:00:00-04:00,338.67,338.82,338.4,338.82
2018-03-13 19:00:00-04:00,338.1,338.45,338,338.11
2018-03-13 18:00:00-04:00,338.38,338.99,338.1,338.1
2018-03-13 17:00:00-04:00,338.75,341.5464,338.64,338.64
2018-03-13 16:00:00-04:00,340.38,341,337.61,338.75
2018-03-13 15:00:00-04:00,341.6,342.63,340.22,340.46
2018-03-13 14:00:00-04:00,343.54,344.58,341.55,341.76
2018-03-13 13:00:00-04:00,342.35,343.805,340.58,343.4332
2018-03-13 12:00:00-04:00,344.72,344.74,341.84,342.32
2018-03-13 11:00:00-04:00,345.45,347.88,344,344.58
2018-03-13 10:00:00-04:00,346,346.6,344.115,345.47
2018-03-13 09:00:00-04:00,345.5,346.65,345.03,346.01
2018-03-13 08:00:00-04:00,344.76,345.91,344.76,345.55
2018-03-12 20:00:00-04:00,345.1,345.5,345,345.2
2018-03-12 19:00:00-04:00,344.8,345.1,344.65,345
2018-03-12 18:00:00-04:00,344.6,344.6,344.19,344.4
2018-03-12 17:00:00-04:00,344.19,344.69,344.19,344.6
2018-03-12 16:00:00-04:00,344.45,346.09,344.2,344.26
2018-03-12 15:00:00-04:00,346.1018,346.23,344.0201,344.38
2018-03-12 14:00:00-04:00,345.1,346.69,344.58,346.1149
2018-03-12 13:00:00-04:00,345.1198,347.15,344.88,345.0809
2018-03-12 12:00:00-04:00,346.7646,347.33,343.26,345.0226
2018-03-12 11:00:00-04:00,351.56,351.76,346.76,346.76
2018-03-12 10:00:00-04:00,355.33,355.79,350.72,351.6
2018-03-12 09:00:00-04:00,356,357.4,355.33,355.75
2018-03-12 08:00:00-04:00,355.66,356.89,355.66,356.2
2018-03-09 20:00:00-05:00,353.68,354.3,353.68,353.85
2018-03-09 19:00:00-05:00,354.38,354.52,354.38,354.52
2018-03-09 18:00:00-05:00,354.05,354.1,354.05,354.1
2018-03-09 17:00:00-05:00,354.52,354.52,354.01,354.38
2018-03-09 16:00:00-05:00,352.55,354.78,352.46,354.53
2018-03-09 15:00:00-05:00,353.89,354.11,352.3912,352.51
2018-03-09 14:00:00-05:00,353.61,354.89,353.51,353.889
2018-03-09 13:00:00-05:00,352.83,354.5325,352.83,353.5302
2018-03-09 12:00:00-05:00,352.51,353.79,352.4329,352.875
2018-03-09 11:00:00-05:00,350.9555,352.8799,350.53,352.505
2018-03-09 10:00:00-05:00,352.71,352.97,350.23,351.09
2018-03-09 09:00:00-05:00,349.7,353.12,348.85,352.75
2018-03-09 08:00:00-05:00,349.64,349.71,349.64,349.71
2018-03-08 20:00:00-05:00,349.03,349.75,349.03,349.75
2018-03-08 19:00:00-05:00,349.5,349.5,348.38,348.73
2018-03-08 18:00:00-05:00,349.3,349.99,349.3,349.45
2018-03-08 17:00:00-05:00,348.56,349.45,348.4,349.45
2018-03-08 16:00:00-05:00,346.58,349.16,346.455,348.68
2018-03-08 15:00:00-05:00,345.57,346.68,344.54,346.68
